Mã UC,Module,Tên use case,Tác nhân,Mô tả ngắn,Ghi chú
UC-66,Nhập kho (Stock In),Hủy / xóa phiếu nhập chưa hoàn tất,"Quản lý kho, Quản lý chi nhánh","Hủy bản nháp hoặc xóa theo API (Cancel theo nghiệp vụ).",Đã triển khai
UC-67,Trả hàng nhà cung cấp,Xem danh sách phiếu trả hàng,"Quản lý kho, Quản lý chi nhánh","Liệt kê phiếu trả gắn với phiếu nhập.",Đã triển khai
UC-68,Trả hàng nhà cung cấp,Xem chi tiết phiếu trả hàng,"Quản lý kho, Quản lý chi nhánh","Xem dòng trả và trạng thái.",Đã triển khai
UC-69,Trả hàng nhà cung cấp,Tạo phiếu trả (từ nhập đã xác nhận),"Quản lý kho, Quản lý chi nhánh","Trả lại hàng cho NCC theo nghiệp vụ.",Đã triển khai
UC-70,Trả hàng nhà cung cấp,Hủy phiếu trả,"Quản lý kho, Quản lý chi nhánh","Hủy và khôi phục tồn theo luồng hệ thống.",Đã triển khai
UC-71,Xuất kho (Stock Out),Xem danh sách phiếu xuất,"Quản lý kho, Quản lý chi nhánh","Theo dõi xuất điều chỉnh / nội bộ / liên quan đơn online.",Đã triển khai
UC-72,Xuất kho (Stock Out),Xem chi tiết phiếu xuất,"Quản lý kho, Quản lý chi nhánh","Xem từng dòng xuất.",Đã triển khai
UC-73,Xuất kho (Stock Out),Tạo phiếu xuất nháp,"Quản lý kho, Quản lý chi nhánh","Khởi tạo phiếu xuất trước khi xác nhận.",Đã triển khai
UC-74,Xuất kho (Stock Out),Cập nhật phiếu xuất nháp,"Quản lý kho, Quản lý chi nhánh","Sửa dòng xuất khi chưa confirm.",Đã triển khai
UC-75,Xuất kho (Stock Out),Xác nhận xuất kho (trừ tồn),"Quản lý kho, Quản lý chi nhánh","Xác nhận và trừ tồn kho.",Đã triển khai
UC-76,Báo cáo kho,Báo cáo xuất nhập tồn (NXT),"Quản lý, Quản trị viên","Theo kỳ và chi nhánh, xuất Excel nếu có.",Đã triển khai
UC-77,Báo cáo kho,Báo cáo dòng phiếu nhập,"Quản lý, Kế toán kho","Chi tiết nhập theo dòng, xuất file.",Đã triển khai
UC-78,Báo cáo kho,Báo cáo dòng phiếu xuất,"Quản lý, Kế toán kho","Chi tiết xuất theo dòng đơn/phiếu.",Đã triển khai
UC-79,Nhà cung cấp,Xem danh sách nhà cung cấp,"Quản lý kho, Quản lý chi nhánh","Danh sách NCC theo mã và trạng thái.",Đã triển khai
UC-80,Nhà cung cấp,Tìm kiếm nhà cung cấp,"Quản lý kho, Quản lý chi nhánh","Theo mã, tên, SĐT qua query.",Đã triển khai
UC-81,Nhà cung cấp,Xem chi tiết nhà cung cấp,"Quản lý kho, Quản lý chi nhánh","Xem hồ sơ NCC.",Đã triển khai
UC-82,Nhà cung cấp,Tạo nhà cung cấp,Quản trị viên / Quản lý kho,"Thêm NCC mới.",Đã triển khai
UC-83,Nhà cung cấp,Cập nhật nhà cung cấp,Quản trị viên / Quản lý kho,"Sửa thông tin NCC.",Đã triển khai
UC-84,Nhà cung cấp,Xóa nhà cung cấp,Quản trị viên / Quản lý kho,"Xóa khi không còn phát sinh.",Đã triển khai
UC-85,Chi nhánh / địa điểm,Xem danh sách chi nhánh,"Quản lý, Quản trị viên","Các kho/cửa hàng trên hệ thống.",Đã triển khai
UC-86,Chi nhánh / địa điểm,Tạo chi nhánh,Quản trị viên,"Thêm địa điểm mới.",Đã triển khai
UC-87,Chi nhánh / địa điểm,Cập nhật chi nhánh,Quản trị viên,"Sửa tên, địa chỉ, cấu hình.",Đã triển khai
UC-88,Chi nhánh / địa điểm,Xóa chi nhánh,Quản trị viên,"Xóa khi đủ điều kiện nghiệp vụ.",Đã triển khai
UC-89,Chi nhánh / địa điểm,Đặt chi nhánh nhận đơn online (online location),Quản trị viên,"Chỉ định chi nhánh isOnlineLocation để định tuyến đơn web.",Đã triển khai
UC-90,Tồn kho theo sản phẩm,Xem tồn theo chi nhánh,"Quản lý kho, Quản lý chi nhánh","Bảng tồn theo location và SKU.",Đã triển khai
UC-91,Tồn kho theo sản phẩm,Cập nhật tồn thủ công,"Quản lý kho, Quản trị viên","Điều chỉnh số lượng khi được phép.",Đã triển khai
UC-92,Tồn kho theo sản phẩm,Cập nhật tồn hàng loạt,"Quản lý kho, Quản trị viên","Bulk set nhiều dòng tồn.",Đã triển khai
UC-93,Khách hàng (CRM),Xem danh sách khách hàng,"Nhân viên bán hàng, Quản lý","Danh sách có lọc theo loại khách.",Đã triển khai
UC-94,Khách hàng (CRM),Tìm kiếm khách hàng,"Nhân viên bán hàng, Quản lý","Theo SĐT hoặc tên (API search).",Đã triển khai
UC-95,Khách hàng (CRM),Xem chi tiết khách hàng,"Nhân viên bán hàng, Quản lý","Hồ sơ khách.",Đã triển khai
UC-96,Khách hàng (CRM),Tạo khách hàng,"Nhân viên bán hàng, Quản lý","Thêm khách walk-in / retail.",Đã triển khai
UC-97,Khách hàng (CRM),Cập nhật khách hàng,"Nhân viên bán hàng, Quản lý","Sửa thông tin liên hệ.",Đã triển khai
UC-98,Khách hàng (CRM),Xóa / khôi phục khách hàng,"Quản lý, Quản trị viên","Soft delete và restore khi có API restore.",Đã triển khai
UC-99,Chính sách thành viên,Xem danh sách chính sách,Quản trị viên,"Các gói ưu đãi / điểm / hạng.",Đã triển khai
UC-100,Chính sách thành viên,Tạo chính sách,Quản trị viên,"Thêm policy mới.",Đã triển khai
UC-101,Chính sách thành viên,Cập nhật chính sách,Quản trị viên,"Sửa điều kiện policy.",Đã triển khai
UC-102,Chính sách thành viên,Xóa chính sách,Quản trị viên,"Ngừng áp dụng policy.",Đã triển khai
UC-103,Hồ sơ cửa hàng & thanh toán,Xem hồ sơ cửa hàng,"Quản lý, Quản trị viên","Thông tin hiển thị và cấu hình chi nhánh.",Đã triển khai
UC-104,Hồ sơ cửa hàng & thanh toán,Cập nhật hồ sơ cửa hàng,"Quản lý, Quản trị viên","Sửa tên, liên hệ, logo (nếu có).",Đã triển khai
UC-105,Hồ sơ cửa hàng & thanh toán,Quản lý tài khoản ngân hàng theo chi nhánh,"Quản lý, Quản trị viên","Thêm/sửa/xóa TK nhận chuyển khoản.",Đã triển khai
UC-106,Hồ sơ cửa hàng & thanh toán,Xem TK ngân hàng chi nhánh khác (nếu được phân quyền),Quản lý,"Hỗ trợ thanh toán liên chi nhánh.",Đã triển khai
UC-107,Giỏ hàng,Xem giỏ hàng,Khách hàng / Người dùng,"Liệt kê item, số lượng, chọn mua.",Đã triển khai
UC-108,Giỏ hàng,Thêm sản phẩm vào giỏ,Khách hàng / Người dùng,"Thêm line vào giỏ session/user.",Đã triển khai
UC-109,Giỏ hàng,Cập nhật số lượng / chọn mua dòng,Khách hàng / Người dùng,"Sửa quantity và cờ chọn checkout.",Đã triển khai
UC-110,Giỏ hàng,Xóa dòng khỏi giỏ,Khách hàng / Người dùng,"Remove theo productId.",Đã triển khai
UC-111,Giỏ hàng,Xóa toàn bộ giỏ,Khách hàng / Người dùng,"Clear cart.",Đã triển khai
UC-112,Địa chỉ giao hàng,Xem danh sách địa chỉ,Khách hàng đã đăng nhập,"Địa chỉ giao của tài khoản.",Đã triển khai
UC-113,Địa chỉ giao hàng,Thêm địa chỉ,Khách hàng đã đăng nhập,"Tạo địa chỉ mới.",Đã triển khai
UC-114,Địa chỉ giao hàng,Cập nhật / xóa địa chỉ,Khách hàng đã đăng nhập,"Sửa hoặc xóa địa chỉ.",Đã triển khai
UC-115,Địa chỉ giao hàng,Đặt địa chỉ mặc định,Khách hàng đã đăng nhập,"Chọn default cho checkout.",Đã triển khai
UC-116,Đơn hàng & thanh toán,Tạo đơn từ giỏ (checkout),Khách hàng / Người dùng,"Đặt hàng online, chọn thanh toán và chi nhánh nhận.",Đã triển khai
UC-117,Đơn hàng & thanh toán,Xem preview thanh toán trước khi đặt,Khách hàng / Người dùng,"Checkout preview (tổng tiền, phương thức).",Đã triển khai
UC-118,Đơn hàng & thanh toán,Tạo đơn đặt trước (pre-order),Nhân viên bán hàng / Quản lý,"Tạo đơn có cờ isPreOrder (hẹn giao / giữ chỗ).",Đã triển khai
UC-119,Đơn hàng & thanh toán,Xem danh sách đơn của tôi,Khách hàng / Người dùng,"Lịch sử đơn cá nhân.",Đã triển khai
UC-120,Đơn hàng & thanh toán,Xem chi tiết đơn (Khách hàng),Khách hàng / Người dùng,"Theo dõi trạng thái, sản phẩm, thanh toán.",Đã triển khai
UC-121,Đơn hàng & thanh toán,Cập nhật đơn (phía khách trong phạm vi cho phép),Khách hàng / Người dùng,"PATCH đơn trước khi cửa hàng xử lý (theo luồng).",Đã triển khai
UC-122,Đơn hàng & thanh toán,Hủy đơn (khách hàng),Khách hàng / Người dùng,"Hủy khi chính sách cho phép.",Đã triển khai
UC-123,Đơn hàng & thanh toán,Tạo hóa đơn bán tại quầy (từ danh sách line),Nhân viên bán hàng / Quản lý,"POST from-items — POS.",Đã triển khai
UC-124,Đơn hàng & thanh toán,Xem danh sách đơn (quản trị cửa hàng),"Quản lý, Nhân viên bán hàng","Lọc theo trạng thái, loại đơn, pre-order, kho.",Đã triển khai
UC-125,Đơn hàng & thanh toán,Cập nhật đơn (xác nhận, thanh toán, giao hàng),"Quản lý, Nhân viên bán hàng","PUT đơn — đổi trạng thái nghiệp vụ.",Đã triển khai
UC-126,Đơn hàng & thanh toán,Báo cáo đơn hàng (theo ngày/chi nhánh),"Quản lý, Quản trị viên","Order report.",Đã triển khai
UC-127,Đơn hàng & thanh toán,Tạo mã QR VietQR thanh toán,"Khách hàng, Nhân viên bán hàng","Generate VietQR cho đơn.",Đã triển khai
UC-128,Đơn hàng & thanh toán,Đồng bộ trạng thái thanh toán từ PayOS,"Khách hàng, Hệ thống","Sync payment từ PayOS API.",Đã triển khai
UC-129,Đơn hàng & thanh toán,Hoàn tiền — mã QR chuyển khoản hoàn & xác nhận,"Quản lý, Nhân viên bán hàng","getRefundTransferQr / confirmRefundTransfer.",Đã triển khai
UC-130,Đơn hàng & thanh toán,Xác nhận xuất kho cho đơn online / đóng gói,"Quản lý kho, Quản lý chi nhánh","confirm outbound, pack line, lookup đơn online.",Đã triển khai
UC-131,Đơn hàng & thanh toán,Quản lý đổi trả / đơn hoàn (màn hình admin),"Quản lý, Nhân viên bán hàng","Trang Customer Returns — theo luồng đơn.",Đã triển khai
UC-132,Cổng thanh toán (PayOS),Webhook cập nhật trạng thái thanh toán,Hệ thống PayOS,"POST /api/payments/webhook — callback.",Đã triển khai
UC-133,Cổng thanh toán (PayOS),Kiểm tra sức khỏe webhook (health),Hệ thống / DevOps,"GET webhook health nếu có.",Đã triển khai
UC-134,Tiện ích thanh toán,Xem danh sách ngân hàng VietQR (public),Khách hàng / Người dùng,"Chọn ngân hàng hiển thị QR / form.",Đã triển khai
UC-135,Báo cáo điều hành,Xem thống kê dashboard,"Quản lý, Quản trị viên","Doanh thu, đơn đã thanh toán, top SP/KH, lọc chi nhánh.",Đã triển khai
UC-136,Báo cáo điều hành,Chọn chi nhánh hoặc toàn hệ thống trên dashboard,"Quản lý, Quản trị viên","Filter locationId / tất cả chi nhánh.",Đã triển khai
UC-137,Báo cáo điều hành,Chuyển ngữ cảnh chi nhánh (switch branch) trên UI,"Quản lý, Quản trị viên","Thao tác UI để xem số liệu theo chi nhánh.",Đã triển khai — chủ yếu client
UC-138,Nhật ký hoạt động,Xem nhật ký hệ thống (admin),Quản trị viên,"Audit log toàn hệ thống.",Đã triển khai
UC-139,Nhật ký hoạt động,Tìm kiếm / lọc nhật ký,Quản trị viên,"Theo mô tả, hành động, resource.",Đã triển khai
UC-140,Nhật ký hoạt động,Xem nhật ký của chính mình,Người dùng đăng nhập,"GET /me logs.",Đã triển khai
UC-141,Nhật ký hoạt động,Xóa bản ghi nhật ký,Quản trị viên,"DELETE log khi cho phép.",Đã triển khai
UC-142,Đổi pin (Battery trade-in),Gửi yêu cầu đổi pin,Khách hàng / Người hoặc không đăng nhập,"Submit form trade-in.",Đã triển khai
UC-143,Đổi pin (Battery trade-in),Upload ảnh minh chứng,Khách hàng,"Upload ảnh pin cũ.",Đã triển khai
UC-144,Đổi pin (Battery trade-in),Tra cứu / cập nhật theo mã lookup,Khách hàng,"Lookup và PATCH theo lookup code.",Đã triển khai
UC-145,Đổi pin (Battery trade-in),Xem danh sách yêu cầu (admin),Quản trị viên / Quản lý,"Danh sách trade-in.",Đã triển khai
UC-146,Đổi pin (Battery trade-in),Xem chi tiết & cập nhật trạng thái / chi tiết admin,Quản trị viên,"PATCH status và details.",Đã triển khai
UC-147,Đổi pin (Battery trade-in),Xem yêu cầu đổi pin của tôi,Khách đăng nhập,"GET /mine.",Đã triển khai
UC-148,Hỗ trợ (kế hoạch),Chat hỗ trợ AI,Khách hàng,"Hỏi đáp về cửa hàng và sản phẩm qua chatbot.",Kế hoạch — chưa có API đầy đủ trong repo
UC-149,Phản hồi (kế hoạch),Gửi phản hồi / đánh giá,Khách hàng,"Gửi feedback sau mua hàng.",Kế hoạch
UC-150,Phản hồi (kế hoạch),Quản lý phản hồi (cửa hàng),Quản lý,"Xem, trả lời, cập nhật trạng thái feedback.",Kế hoạch
